"date_value","Homicide","Rape","Robbery/Gun","Robbery/Other","Aggravated Assault/Gun","Aggravated Assault/Other","Burglary/Residential","Burglary/Commercial","Theft of Motor Vehicle Tag","Theft from Person","Theft from Auto","Retail Theft","Theft","Auto Theft","Drug Possession","Drug Sales","DUI","All Other Offenses"
2014-06-20,15,0,1,1,3,14,5,0,0,0,2,2,5,0,10,32,11,58
2014-06-23,3,0,5,8,1,9,2,0,0,0,1,4,0,5,9,45,13,22
2014-06-24,0,10,8,19,12,0,4,5,0,0,0,3,0,0,2,77,3,48
2014-06-25,18,0,0,17,18,22,8,13,0,0,2,10,8,1,5,42,7,48
2014-06-26,0,0,15,11,14,7,0,0,0,0,1,12,0,0,16,41,7,75
2014-06-27,3,0,38,6,5,15,2,0,0,0,0,10,0,7,8,13,3,50
2014-06-30,0,6,10,7,1,5,7,0,0,0,3,13,0,0,4,20,6,29
2014-07-01,30,6,0,7,22,0,16,0,0,0,0,10,3,11,10,82,2,45
2014-07-02,0,7,8,15,5,8,5,0,0,0,0,9,0,7,18,46,0,29
2014-07-03,0,4,10,0,0,5,21,0,0,0,0,0,0,0,4,19,4,10
2014-07-07,7,0,3,0,5,18,0,0,0,0,6,7,0,5,3,43,7,28
2014-07-08,0,0,9,0,31,27,3,0,0,0,0,1,2,0,8,83,14,69
2014-07-09,0,0,1,14,0,5,2,5,0,0,1,0,2,4,5,59,11,40
2014-07-10,0,12,4,20,2,29,0,0,0,0,1,0,3,8,1,51,10,45
2014-07-11,0,0,7,11,5,21,9,3,0,0,3,3,1,12,5,79,2,40
2014-07-14,5,2,5,0,14,8,6,0,0,0,5,6,2,6,14,20,10,34
2014-07-15,0,0,0,9,7,27,10,0,0,0,0,15,1,7,6,90,6,29
2014-07-16,0,0,4,0,0,20,24,0,0,0,0,16,7,8,2,60,8,42
2014-07-17,0,0,10,10,6,19,12,0,0,0,0,16,0,7,4,39,5,62
2014-07-18,0,4,26,16,25,7,0,0,0,0,0,3,1,2,14,37,3,37
2014-07-21,17,0,4,20,15,13,20,0,0,0,0,8,0,3,10,17,27,31
